run_id,epoch,base_harm,beta,conformal_score,conformal_method,gamma,alpha,k,Method,Collective,Report Strategy,Report Fraction,likes_softmax_temperature,topk_n,tag,avg_frequency_in_topk
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,36,0.008252137601908897
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,8,0.03155696957645648
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,60,0.009862795784450087
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,22,0.0047226088685623745
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,27,0.006064824020680112
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,28,0.030413601113541293
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,37,0.0018989858818850667
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,35,0.005766553986876168
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,24,0.005060648240206843
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,56,0.0003976933784052498
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,23,0.0014913501690196822
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,52,4.971167230065619e-05
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,53,0.0006462517399085298
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,64,0.00025850069596341233
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,54,0.0005965400676078738
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.0022867369258301852,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,40,0.00047723205408629936
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,26,0.012497514416384779
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,67,0.07083913302843756
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,12,0.06647444820044004
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,15,0.025671107576058082
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,62,0.0418671704116134
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,4,0.01800556770729721
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,39,0.11739908530523037
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,20,0.05257506462517537
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,68,0.04760389739510939
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,2,0.03918274010737789
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,1,0.027341419765360357
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,6,0.04131039968184606
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,11,0.03568303837741134
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,17,0.018960031815469777
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,16,0.009763372439848787
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,9,0.04623185523961123
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,7,0.03290912706303448
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,5,0.031208987870351826
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,65,0.029399482998607774
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,42,0.005090475243587239
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002187313581228873,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,10,0.0093159673891429
